nome,codigo,valor,intensidade,uf
CACHOEIRA DO PIRIÁ,1501956,0,si,Pará
SÃO JOSÉ DOS BASÍLIOS,2111250,0,si,Maranhão
SERRINHA DOS PINTOS,2413557,3,s2,Rio Grande do Norte
MULUNGU DO MORRO,2922052,1,s0,Bahia
CURRALINHOS,2203255,2,s1,Piauí
SANTA MARIA DO SALTO,3158102,0,si,Minas Gerais
SÃO FÉLIX DE BALSAS,2110807,3,s2,Maranhão
ALAGOA NOVA,2500403,2,s1,Paraíba
ITUAÇU,2917201,1,s0,Bahia
MARAVILHA,2704609,2,s1,Alagoas
CAPINZAL DO NORTE,2102754,0,si,Maranhão
SÃO JOSÉ DO PEIXE,2210102,4,s3,Piauí
SÃO JOSÉ DO CAMPESTRE,2412302,1,s0,Rio Grande do Norte
BELA CRUZ,2302305,4,s3,Ceará
FRANCISCO SANTOS,2204204,5,s4,Piauí
BARRA DO OURO,1703073,2,s1,Tocantins
SANTANÓPOLIS,2928307,0,si,Bahia
AREIA DE BARAÚNAS,2501153,3,s2,Paraíba
GARARU,2802403,0,si,Sergipe
SANTANA DE MANGUEIRA,2513505,3,s2,Paraíba
VITORINO FREIRE,2113009,0,si,Maranhão
CONCEIÇÃO DO LAGO-AÇU,2103554,0,si,Maranhão
BELÉM,2700805,0,si,Alagoas
INDEPENDÊNCIA,2305605,5,s4,Ceará
PEDRA AZUL,3148707,0,si,Minas Gerais
BOM JESUS DA SERRA,2903953,0,si,Bahia
CHÃ GRANDE,2604502,2,s1,Pernambuco
AMARANTE DO MARANHÃO,2100600,2,s1,Maranhão
MESSIAS,2705200,0,si,Alagoas
CAETÉS,2603207,4,s3,Pernambuco
BREJOLÂNDIA,2904407,3,s2,Bahia
AVELINO LOPES,2201101,3,s2,Piauí
JARDIM DO MULATO,2205250,3,s2,Piauí
POSSE,5218300,3,s2,Goiás
APORÁ,2901908,0,si,Bahia
BOA HORA,2201770,2,s1,Piauí
CARNAUBAL,2303402,4,s3,Ceará
PAULISTA,2510907,3,s2,Paraíba
PORTO RICO DO MARANHÃO,2109056,3,s2,Maranhão
TURILÂNDIA,2112456,3,s2,Maranhão
ITAGUATINS,1710706,3,s2,Tocantins
SENADOR POMPEU,2312700,4,s3,Ceará
CANTO DO BURITI,2202307,4,s3,Piauí
MANOEL EMÍDIO,2205904,3,s2,Piauí
CARAÚBAS,2402303,3,s2,Rio Grande do Norte
ANADIA,2700201,0,si,Alagoas
TENENTE ANANIAS,2414100,3,s2,Rio Grande do Norte
PARAMIRIM,2923605,2,s1,Bahia
MARAGOGI,2704500,0,si,Alagoas
OLHO D'ÁGUA GRANDE,2705903,0,si,Alagoas
ESPERANÇA,2506004,2,s1,Paraíba
ITAJU DO COLÔNIA,2915403,0,si,Bahia
GALINHOS,2404101,3,s2,Rio Grande do Norte
SÃO LUÍS DO QUITUNDE,2708501,0,si,Alagoas
LAGOA DO BARRO DO PIAUÍ,2205565,4,s3,Piauí
LAFAIETE COUTINHO,2918704,0,si,Bahia
AGUIAR,2500205,3,s2,Paraíba
MILHÃ,2308351,4,s3,Ceará
LUÍS GOMES,2407005,3,s2,Rio Grande do Norte
GOIANA,2606200,0,si,Pernambuco
SÃO DOMINGOS DO AZEITÃO,2110658,2,s1,Maranhão
IGARAPÉ GRANDE,2105203,0,si,Maranhão
RIBEIRÃO DO LARGO,2926657,0,si,Bahia
MATURÉIA,2509396,3,s2,Paraíba
MALHADOR,2803906,0,si,Sergipe
DÁRIO MEIRA,2910008,0,si,Bahia
ENCANTO,2403301,3,s2,Rio Grande do Norte
GLÓRIA DO GOITÁ,2606101,2,s1,Pernambuco
VALENÇA,2932903,0,si,Bahia
BOA NOVA,2903706,0,si,Bahia
CALUMBI,2603405,4,s3,Pernambuco
SOCORRO DO PIAUÍ,2210904,4,s3,Piauí
ARARIPINA,2601102,5,s4,Pernambuco
PASSIRA,2610509,3,s2,Pernambuco
JANDUÍS,2405207,3,s2,Rio Grande do Norte
ITAPORANGA D'AJUDA,2803203,0,si,Sergipe
PASTOS BONS,2108009,2,s1,Maranhão
PACAJUS,2309607,4,s3,Ceará
BOM SUCESSO,2502300,3,s2,Paraíba
PAULO AFONSO,2924009,2,s1,Bahia
MONTANHAS,2407708,0,si,Rio Grande do Norte
CURIMATÁ,2203206,3,s2,Piauí
PEDRO ALEXANDRE,2924207,1,s0,Bahia
MAIRI,2920106,1,s0,Bahia
SÃO MIGUEL DO GOSTOSO,2412559,0,si,Rio Grande do Norte
CAMPO REDONDO,2402105,2,s1,Rio Grande do Norte
MAMBAÍ,5212709,3,s2,Goiás
DIVINA PASTORA,2802007,0,si,Sergipe
DOM MACEDO COSTA,2910206,0,si,Bahia
SANTA HELENA,2513307,3,s2,Paraíba
ITIRUÇU,2916906,0,si,Bahia
ILHA GRANDE,2204659,2,s1,Piauí
LAJES PINTADAS,2406809,2,s1,Rio Grande do Norte
ROSÁRIO DO CATETE,2806107,0,si,Sergipe
CAXIAS,2103000,1,s0,Maranhão
UBATÃ,2932309,0,si,Bahia
COLINAS,2103505,1,s0,Maranhão
ALTAMIRA DO MARANHÃO,2100402,0,si,Maranhão
CANINDÉ,2302800,5,s4,Ceará
MANGA,3139300,3,s2,Minas Gerais
SÃO MIGUEL DO ALEIXO,2807006,0,si,Sergipe
BREJO DO CRUZ,2502805,3,s2,Paraíba
JAGUARIPE,2917805,0,si,Bahia
MINADOR DO NEGRÃO,2705309,2,s1,Alagoas
CAMUTANGA,2603603,0,si,Pernambuco
INHAPI,2703304,2,s1,Alagoas
FAGUNDES,2506103,2,s1,Paraíba
SÃO JOÃO DO PARAÍSO,2111052,2,s1,Maranhão
SANTA MARIA DA VITÓRIA,2928109,3,s2,Bahia
QUEIMADAS,2925808,2,s1,Bahia
CHOROZINHO,2303956,4,s3,Ceará
FLORES,2605608,4,s3,Pernambuco
LAGOA DA CANOA,2704104,0,si,Alagoas
MIGUEL LEÃO,2206308,2,s1,Piauí
LASTRO,2508406,3,s2,Paraíba
ILHÉUS,2913606,0,si,Bahia
UMBAÚBA,2807600,0,si,Sergipe
GODOFREDO VIANA,2104305,2,s1,Maranhão
MARIBONDO,2704807,0,si,Alagoas
PEDRA BRANCA,2511004,3,s2,Paraíba
SÃO RAIMUNDO NONATO,2210607,4,s3,Piauí
OLHO D'ÁGUA DAS CUNHÃS,2107407,0,si,Maranhão
PALMEIRA DO PIAUÍ,2207405,3,s2,Piauí
ESCADA,2605202,1,s0,Pernambuco
REMANSO,2926004,4,s3,Bahia
BACURITUBA,2101350,2,s1,Maranhão
TRAIRI,2313500,5,s4,Ceará
VILA NOVA DOS MARTÍRIOS,2112852,2,s1,Maranhão
RIBEIRÓPOLIS,2806008,0,si,Sergipe
MADEIRO,2205854,3,s2,Piauí
PALMÁCIA,2310100,5,s4,Ceará
JUNQUEIRO,2704005,0,si,Alagoas
OURIÇANGAS,2923308,0,si,Bahia
JAGUARIBARA,2306801,4,s3,Ceará
BELÁGUA,2101731,3,s2,Maranhão
HUMBERTO DE CAMPOS,2105005,3,s2,Maranhão
SÃO LUÍS DO CURU,2312601,5,s4,Ceará
RIO LARGO,2707701,0,si,Alagoas
FORTALEZA,2304400,4,s3,Ceará
SANTA LUZIA,2110005,0,si,Maranhão
ÁGUA BRANCA,2500106,3,s2,Paraíba
ALTOS,2200400,2,s1,Piauí
OLINDINA,2923100,0,si,Bahia
SÃO SEBASTIÃO DO UMBUZEIRO,2515203,4,s3,Paraíba
MATRIZ DE CAMARAGIBE,2705101,0,si,Alagoas
CAJAPIÓ,2102408,2,s1,Maranhão
BARRA DOS COQUEIROS,2800605,0,si,Sergipe
ULIANÓPOLIS,1508126,0,si,Pará
TAQUARANA,2709103,0,si,Alagoas
MATA DE SÃO JOÃO,2921005,0,si,Bahia
FERREIROS,2605509,0,si,Pernambuco
VALENTE,2933000,1,s0,Bahia
POÇÃO DE PEDRAS,2108900,0,si,Maranhão
PETROLINA,2611101,5,s4,Pernambuco
CROATÁ,2304236,4,s3,Ceará
CHAVAL,2303907,2,s1,Ceará
SÃO JOSÉ DA LAGOA TAPADA,2514206,3,s2,Paraíba
CARNAÍBA,2603900,4,s3,Pernambuco
RIACHÃO DO JACUÍPE,2926301,0,si,Bahia
COELHO NETO,2103406,1,s0,Maranhão
CAETANOS,2905156,0,si,Bahia
CARAÚBAS,2504074,4,s3,Paraíba
PÃO DE AÇÚCAR,2706406,1,s0,Alagoas
URUÇUÍ,2211209,3,s2,Piauí
BARREIRA,2301950,4,s3,Ceará
SENADOR ALEXANDRE COSTA,2111748,0,si,Maranhão
UBAITABA,2932200,0,si,Bahia
SÃO BENEDITO,2312304,4,s3,Ceará
CORRENTINA,2909307,3,s2,Bahia
GEMINIANO,2204352,5,s4,Piauí
MARAGOGIPE,2920601,0,si,Bahia
PIRANHAS,2707107,1,s0,Alagoas
BARRAS,2201200,2,s1,Piauí
BODOCÓ,2602001,5,s4,Pernambuco
ABEL FIGUEIREDO,1500131,2,s1,Pará
NOSSA SENHORA APARECIDA,2804458,0,si,Sergipe
PEDRA PRETA,2409605,2,s1,Rio Grande do Norte
SANTA CRUZ DA BAIXA VERDE,2612471,4,s3,Pernambuco
MASSAPÊ DO PIAUÍ,2206050,5,s4,Piauí
IGUATU,2305506,3,s2,Ceará
CONDEÚBA,2908705,2,s1,Bahia
FORTIM,2304459,4,s3,Ceará
TANHAÇU,2931004,1,s0,Bahia
JUAZEIRO DO NORTE,2307304,3,s2,Ceará
CANDIBA,2906600,2,s1,Bahia
CAJARI,2102507,0,si,Maranhão
SOLIDÃO,2614402,3,s2,Pernambuco
BAYEUX,2501807,0,si,Paraíba
CATINGUEIRA,2504207,3,s2,Paraíba
ICÓ,2305407,3,s2,Ceará
